category,total_year,total_value
Economic Output,2024,2857978298.0
Jobs,2024,20349.0
Labor Income,2024,1015336237.0
Non-local Visitor Spending,2024,1943164380.0
Party Days/Nights,2024,5375938.0
Value Added,2024,1779662400.0
Visitor Spending,2024,2041286777.0
Visits,2024,12191834.0
